latitude,longitude,element,id,building,name,addr:street,name:en,tourism,addr:housenumber,addr:postcode,addr:block_number,addr:place,residential,building:levels,building:roof,building:structure,building:use,building:walls,addr:city,phone,amenity,addr:housename,addr:district,addr:province,addr:subdistrict,addr:neighbourhood,height,addr:full,description,religion,addr:unit,addr:suburb,house,landuse,shop,layer,noaddress,addr:block,smoking,cuisine,healthcare,delivery,mobile,not:name,opening_hours,takeaway,website,air_conditioning,branch,brand,brand:wikidata,brand:wikipedia,name:id,name:ja,operator,payment:cash,payment:credit_cards,payment:debit_cards,toilets,toilets:access,building:flats,alt_name,level,payment:contactless,payment:electronic_purses,payment:qr_code,wheelchair,official_name,natural,social_facility,social_facility:for,note,category,nearest_node,network_distance_m
-6.9375417,107.6819337,node,4143034493,apartments,Panoramic,Jalan Soekarno Hatta,Panoramic Apartment,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tourism=apartment,5354034043,8978.08146247693
-6.8810222,107.6042039,node,4365996039,apartments,Apartemen Galeri Ciumbuleuit,Jalan Ciumbeuluit,,,42A,40132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=apartments,5461101971,5171.45253927039
-6.9406472,107.6660914,node,5895495322,residential,Uluputty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,302280706,9389.933260788992
-6.9267997,107.6882496,node,9807944157,residential,D'Brata Kost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,9307974158,9287.52014988592
-6.9653556,107.6383848,node,9816491681,residential,Sapta Taruna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,10174364525,8554.547466738792
-6.9515535,107.6531155,node,9816576068,residential,Villa Cluster Margaluyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,9340200136,9472.432342484815
-6.8847401999999995,107.61321386374824,way,119454248,apartments,Dago Butik,,,,,,,,,12,concrete,reinforced_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=apartments,2034531650,4247.031394689787
-6.8836236,107.6184407898621,way,122387754,residential,Dago's Hill Residence,Jalan Tubagus Ismail VIII,,,19,,,,,,tile,reinforced_masonry,residential,brick,"Bandung, Jawa Barat",+62 22 2509747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1381644983,3563.2896060370745
-6.884638,107.61495894999999,way,124469759,house,,,,,,,,,,2,asbestos,reinforced_masonry,commercial,brick,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amenity=restaurant,5465993079,3848.398689727424
-6.8861409,107.6169283579712,way,124472630,residential,,,,,,,,,,2,tile,reinforced_masonry,residential,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,5149616893,3724.4415216111456
